ID,Title,Milestone,Phase,Area,Type,Priority,Status,Owner,Estimate,Client Visible,Depends On,Labels,Description,Acceptance Criteria,Testing Notes
LW-017,Зробити frontend auth pages,M1,phase: 1-auth,auth,frontend,high,Backlog,Frontend,5,yes,"LW-012, LW-013, LW-015",type: frontend; area: auth; phase: 1-auth; priority: high,"/register, /login, /profile, auth state через /auth/me, logout button.",Register/login/logout працюють; profile показує дані user.,Manual flow + UI smoke test.
LW-018,Написати auth tests,M1,phase: 1-auth,testing,testing,high,Backlog,Backend,3,no,"LW-012, LW-013, LW-014, LW-015",type: testing; area: testing; phase: 1-auth; priority: high,Покрити register/login/logout/protected routes.,Всі auth tests проходять у CI.,CI green.
LW-019,Додати Role enum і permission map,M2,phase: 2-admin-base,permissions,backend,critical,Backlog,Backend,2,yes,"LW-009, LW-010",type: backend; area: permissions; phase: 2-admin-base; priority: critical,Roles user/designer/admin і permission map згідно baseline.,Admin має MVP permissions; user/designer не мають admin permissions.,Permission unit tests.
LW-020,Реалізувати PermissionsGuard,M2,phase: 2-admin-base,permissions,backend,critical,Backlog,Backend,3,no,LW-019,type: backend; area: permissions; phase: 2-admin-base; priority: critical,@RequirePermissions decorator + guard для backend endpoints.,Backend блокує без permission.,Access tests.
LW-021,Реалізувати OwnerGuard,M2,phase: 2-admin-base,permissions,backend,high,Backlog,Backend,3,no,LW-020,type: backend; area: permissions; phase: 2-admin-base; priority: high,Перевірка ownership для own order/profile/files/designs.,User бачить тільки свої ресурси.,Owner access tests.
LW-022,Створити AuditLog schema,M2,phase: 2-admin-base,audit,backend,critical,Backlog,Backend,2,yes,LW-005,type: backend; area: audit; phase: 2-admin-base; priority: critical,AuditLog fields actor/action/entity/old/new/reason/ip/userAgent/createdAt.,Append-only; schema має потрібні поля.,Schema test.
LW-023,Реалізувати AuditLog service,M2,phase: 2-admin-base,audit,backend,high,Backlog,Backend,3,no,LW-022,type: backend; area: audit; phase: 2-admin-base; priority: high,Service helpers для admin/system/webhook actions.,Можна створити audit log з будь-якого module.,Unit test.
LW-024,Зробити Admin layout frontend,M2,phase: 2-admin-base,admin,frontend,high,Backlog,Frontend,5,yes,"LW-017, LW-020",type: frontend; area: admin; phase: 2-admin-base; priority: high,"/admin layout, sidebar, protected admin routes.",Адмінка доступна тільки admin; sidebar є.,Manual role test.
LW-025,Зробити Admin Action Center placeholder,M2,phase: 2-admin-base,admin,frontend,medium,Backlog,Frontend,3,yes,LW-024,type: frontend; area: admin; phase: 2-admin-base; priority: medium,Головний admin inbox з блоками заявок/дизайнів/платежів/доставки/production/payouts.,"UI структура готова, може бути mock data.",Visual review.
LW-026,Створити Drop schema base,M3,phase: 3-storefront,drops,backend,critical,Backlog,Backend,4,yes,"LW-005, LW-009",type: backend; area: drops; phase: 3-storefront; priority: critical,Base Drop schema з полями baseline.,Slug unique; status enum; quantity fields; timestamps.,Schema test.
LW-027,Створити Collection schema base,M3,phase: 3-storefront,collections,backend,high,Backlog,Backend,3,yes,LW-005,type: backend; area: collections; phase: 3-storefront; priority: high,"Collection schema з dropIds, designers, status, cover, featured.",Slug unique; status enum.,Schema test.
LW-028,Створити DesignerProfile schema base,M3,phase: 3-storefront,designer,backend,high,Backlog,Backend,3,yes,LW-005,type: backend; area: designer; phase: 3-storefront; priority: high,DesignerProfile schema для public designer pages.,Slug unique; user relation; status enum.,Schema test.
LW-029,Реалізувати Public drops API,M3,phase: 3-storefront,drops,backend,critical,Backlog,Backend,4,yes,LW-026,type: backend; area: drops; phase: 3-storefront; priority: critical,"GET /drops, /drops/:slug, /drops/:slug/related.",Draft не видно; public бачить тільки allowed statuses.,API tests.
LW-030,Реалізувати Public collections API,M3,phase: 3-storefront,collections,backend,medium,Backlog,Backend,3,yes,LW-027,type: backend; area: collections; phase: 3-storefront; priority: medium,"GET /collections, /collections/:slug, /collections/:slug/drops.",Published collections visible; draft hidden.,API tests.
LW-031,Реалізувати Public designers API,M3,phase: 3-storefront,designer,backend,medium,Backlog,Backend,3,yes,LW-028,type: backend; area: designer; phase: 3-storefront; priority: medium,"GET /designers, /designers/:slug, /designers/:slug/drops.",Only active designers visible.,API tests.
LW-032,Зробити Homepage,M3,phase: 3-storefront,storefront,frontend,high,Backlog,Frontend,5,yes,"LW-029, LW-030, LW-031",type: frontend; area: storefront; phase: 3-storefront; priority: high,"Hero, active drops, collections, featured designers, footer.",Homepage pulls real API data; loading/error states.,Visual + API smoke.
LW-033,Зробити Drop card component,M3,phase: 3-storefront,storefront,frontend,high,Backlog,Frontend,3,yes,LW-029,type: frontend; area: storefront; phase: 3-storefront; priority: high,"Card with image, title, status, progress, timer, price, left places.",Reusable component; status logic matches baseline.,Component test/manual.
LW-034,Зробити Drop detail page,M3,phase: 3-storefront,storefront,frontend,critical,Backlog,Frontend,6,yes,"LW-029, LW-033",type: frontend; area: storefront; phase: 3-storefront; priority: critical,"Gallery, title, designer/collection, progress, timer, price, size options, reserve placeholder, info blocks.",Page opens by slug and handles not found/draft.,Manual smoke.
LW-035,Зробити Collection page,M3,phase: 3-storefront,storefront,frontend,medium,Backlog,Frontend,4,yes,"LW-030, LW-033",type: frontend; area: storefront; phase: 3-storefront; priority: medium,"Collection cover, title, description, drops, designer links.",Page opens by slug.,Manual smoke.
LW-036,Зробити Designer public page,M3,phase: 3-storefront,storefront,frontend,medium,Backlog,Frontend,4,yes,"LW-031, LW-033",type: frontend; area: storefront; phase: 3-storefront; priority: medium,"Avatar, cover, bio, socials, designer drops/collections.",Page opens by slug.,Manual smoke.
LW-037,Створити Request schema,M4,phase: 4-designer-flow,requests,backend,critical,Backlog,Backend,3,yes,"LW-005, LW-009",type: backend; area: requests; phase: 4-designer-flow; priority: critical,Request schema для applications/review/problems/tasks.,Type/status/priority enums; target entity fields.,Schema test.
LW-038,Реалізувати designer application endpoint,M4,phase: 4-designer-flow,designer,backend,critical,Backlog,Backend,4,yes,"LW-037, LW-010",type: backend; area: designer; phase: 4-designer-flow; priority: critical,POST /designer/apply створює Request type designer_application.,User не стає designer автоматично.,API test.
LW-039,Реалізувати admin review designer application,M4,phase: 4-designer-flow,designer,backend,critical,Backlog,Backend,5,yes,"LW-020, LW-023, LW-028, LW-038",type: backend; area: designer; phase: 4-designer-flow; priority: critical,Approve/reject/needs_changes для designer_application.,Approve creates DesignerProfile; User.role=designer; audit+notification.,Integration test.
LW-040,Створити Design schema,M4,phase: 4-designer-flow,designs,backend,critical,Backlog,Backend,4,yes,"LW-005, LW-028",type: backend; area: designs; phase: 4-designer-flow; priority: critical,Design schema згідно baseline.,Status enum; file refs; admin comment/rejection reason.,Schema test.
LW-041,Реалізувати designer design endpoints,M4,phase: 4-designer-flow,designs,backend,critical,Backlog,Backend,5,yes,"LW-040, LW-020, LW-021",type: backend; area: designs; phase: 4-designer-flow; priority: critical,POST/PATCH/submit/GET designer designs.,Only designer can submit; owner check works.,API tests.
LW-042,Реалізувати admin design review,M4,phase: 4-designer-flow,designs,backend,critical,Backlog,Backend,5,yes,"LW-041, LW-023",type: backend; area: designs; phase: 4-designer-flow; priority: critical,Approve/reject/needs_changes for Design.,Reject requires reason; needs_changes comment; audit + notification.,Integration tests.
LW-043,Зробити Designer cabinet frontend,M4,phase: 4-designer-flow,designer,frontend,high,Backlog,Frontend,7,yes,"LW-038, LW-041",type: frontend; area: designer; phase: 4-designer-flow; priority: high,"/designer, /designer/designs, /designer/designs/new, payouts/analytics placeholders.",Designer can apply/submit design; non-designer blocked.,Manual flow.
LW-044,Створити FileAsset schema,M5,phase: 5-files,files,backend,critical,Backlog,Backend,3,yes,LW-005,type: backend; area: files; phase: 5-files; priority: critical,FileAsset metadata schema.,Visibility/category/status enums; storageKey indexed.,Schema test.
LW-045,Реалізувати S3/R2 storage service,M5,phase: 5-files,files,backend,critical,Backlog,Backend,5,yes,"LW-044, LW-006",type: backend; area: files; phase: 5-files; priority: critical,"Upload, soft delete, public URL, signed private URL.",Works with configured S3-compatible storage.,Integration/manual storage test.
LW-046,Реалізувати upload validation,M5,phase: 5-files,security,backend,critical,Backlog,Backend,4,no,LW-045,type: backend; area: security; phase: 5-files; priority: critical,MIME/extension/size/category/visibility/user permission checks.,Invalid files blocked; category limits enforced.,Validation tests.
LW-047,Підключити designer file upload,M5,phase: 5-files,files,fullstack,high,Backlog,Fullstack,5,yes,"LW-043, LW-046",type: fullstack; area: files; phase: 5-files; priority: high,"Upload for designer application, design original, preview, mockup.",Files attach to Request/Design via FileAsset.,Manual upload flow.
LW-048,Реалізувати admin private file access,M5,phase: 5-files,files,backend,high,Backlog,Backend,4,no,"LW-020, LW-021, LW-045",type: backend; area: files; phase: 5-files; priority: high,Signed URLs for private/admin files with permission checks.,Admin can access; regular user cannot; designer own files only.,Access tests.
LW-049,Написати file storage tests,M5,phase: 5-files,testing,testing,high,Backlog,Backend,3,no,"LW-046, LW-048",type: testing; area: testing; phase: 5-files; priority: high,"Invalid extension, size, private access, signed URL expiry, path generation.",All file security tests green.,CI green.
LW-050,Реалізувати admin create drop,M6,phase: 6-drops,drops,backend,critical,Backlog,Backend,4,yes,"LW-026, LW-040, LW-020",type: backend; area: drops; phase: 6-drops; priority: critical,POST /admin/drops with validation.,design exists; price/min/max/dates/sizeOptions valid.,API tests.
LW-051,Реалізувати admin edit drop,M6,phase: 6-drops,drops,backend,high,Backlog,Backend,4,yes,LW-050,type: backend; area: drops; phase: 6-drops; priority: high,PATCH /admin/drops/:id with locked fields after launch.,designerRevenuePercent locked after launch.,API tests.
LW-052,Реалізувати launch drop,M6,phase: 6-drops,drops,backend,critical,Backlog,Backend,4,yes,"LW-050, LW-023",type: backend; area: drops; phase: 6-drops; priority: critical,POST /admin/drops/:id/launch.,Only ready_for_launch; audit log; public after launch.,Integration test.
LW-053,Реалізувати Drop lifecycle service,M6,phase: 6-drops,drops,backend,critical,Backlog,Backend,6,no,LW-052,type: backend; area: drops; phase: 6-drops; priority: critical,Status transition service for all drop states.,Invalid transitions rejected; valid transitions audited.,Unit tests.
LW-054,Реалізувати Drop quantity rules,M6,phase: 6-drops,drops,backend,critical,Backlog,Backend,5,no,LW-053,type: backend; area: drops; phase: 6-drops; priority: critical,currentQuantity only from payment hold; min/max/guaranteed/sold_out rules.,No overbooking; pending payment no increment.,Unit/integration tests.
LW-055,Зробити Admin drops frontend,M6,phase: 6-drops,drops,frontend,high,Backlog,Frontend,7,yes,"LW-050, LW-051, LW-052",type: frontend; area: drops; phase: 6-drops; priority: high,/admin/drops list/new/detail/edit with status/progress.,Admin can create/edit/launch via UI.,Manual admin flow.
LW-056,Написати drop tests,M6,phase: 6-drops,testing,testing,high,Backlog,Backend,4,no,"LW-053, LW-054",type: testing; area: testing; phase: 6-drops; priority: high,Cannot launch invalid; max; guaranteed; sold_out; invalid transitions.,Drop tests green in CI.,CI green.
LW-057,Створити Order schema,M7,phase: 7-orders,orders,backend,critical,Backlog,Backend,3,yes,"LW-026, LW-010",type: backend; area: orders; phase: 7-orders; priority: critical,Order schema according to baseline.,Status enum; refs; priceAtPurchase; deliveryData; canCancel.,Schema test.
LW-058,Створити CreateOrderDto,M7,phase: 7-orders,orders,backend,critical,Backlog,Backend,2,no,LW-057,type: backend; area: orders; phase: 7-orders; priority: critical,"dropId, size, quantity, recipient, phone, city/warehouse refs, deliveryType.",DTO validates delivery data and size fields.,Validation tests.
LW-059,Реалізувати create order endpoint,M7,phase: 7-orders,orders,backend,critical,Backlog,Backend,5,yes,"LW-058, LW-054",type: backend; area: orders; phase: 7-orders; priority: critical,POST /orders creates pending_payment order without quantity increment.,Logged-in; drop active/guaranteed; size valid; delivery required.,Integration tests.
LW-060,Реалізувати My orders API,M7,phase: 7-orders,orders,backend,high,Backlog,Backend,3,yes,"LW-057, LW-021",type: backend; area: orders; phase: 7-orders; priority: high,GET /orders/my and /orders/:id.,User sees own orders only; admin can see all.,Owner tests.
LW-061,Реалізувати cancel order,M7,phase: 7-orders,orders,backend,high,Backlog,Backend,4,yes,LW-059,type: backend; area: orders; phase: 7-orders; priority: high,POST /orders/:id/cancel.,Allowed before guaranteed; blocked after; cancel hold if exists.,Integration test.
LW-062,Реалізувати update order size/delivery,M7,phase: 7-orders,orders,backend,medium,Backlog,Backend,4,yes,LW-059,type: backend; area: orders; phase: 7-orders; priority: medium,PATCH size/delivery until production lock.,Blocked after production/ready_to_ship.,API tests.
LW-063,Зробити Checkout frontend,M7,phase: 7-orders,checkout,frontend,critical,Backlog,Frontend,8,yes,"LW-034, LW-059",type: frontend; area: checkout; phase: 7-orders; priority: critical,"Checkout modal/side panel, size, delivery, reserve button, payment explanation.",Can create pending_payment order.,Manual checkout.
LW-064,Написати orders tests,M7,phase: 7-orders,testing,testing,high,Backlog,Backend,4,no,"LW-059, LW-061, LW-062",type: testing; area: testing; phase: 7-orders; priority: high,"Order inactive, invalid size, no delivery, pending no reserve, cancel logic.",Orders tests green.,CI green.
LW-065,Створити Payment schema,M8,phase: 8-payments,payments,backend,critical,Backlog,Backend,3,yes,LW-057,type: backend; area: payments; phase: 8-payments; priority: critical,Payment schema according to baseline.,providerInvoiceId unique; status enum; holdExpiresAt.,Schema test.
LW-066,Реалізувати Monobank service,M8,phase: 8-payments,payments,backend,critical,Backlog,Backend,6,no,"LW-065, LW-006",type: backend; area: payments; phase: 8-payments; priority: critical,"createHoldInvoice, checkStatus, finalizeHold, cancelHold.",Secrets from env only; no token logs.,Mock integration tests.
LW-067,Реалізувати create payment hold,M8,phase: 8-payments,payments,backend,critical,Backlog,Backend,5,yes,"LW-059, LW-066",type: backend; area: payments; phase: 8-payments; priority: critical,Create Payment and Mono invoice for pending order.,Frontend receives payment URL; amount from order only.,Integration test.
LW-068,Реалізувати Monobank webhook endpoint,M8,phase: 8-payments,payments,backend,critical,Backlog,Backend,6,no,"LW-066, LW-023",type: backend; area: payments; phase: 8-payments; priority: critical,POST /webhooks/monobank with authenticity and idempotency.,Duplicate webhook ignored; raw event stored safely.,Webhook tests.
LW-069,Обробити hold_created event,M8,phase: 8-payments,payments,backend,critical,Backlog,Backend,5,yes,"LW-068, LW-054, LW-088",type: backend; area: payments; phase: 8-payments; priority: critical,"Payment hold_created, Order reserved, Drop.currentQuantity +1, status updates, audit, notification.",Quantity increments once; guaranteed/sold_out rules apply.,Integration tests.
LW-070,Обробити payment failed event,M8,phase: 8-payments,payments,backend,critical,Backlog,Backend,3,yes,LW-068,type: backend; area: payments; phase: 8-payments; priority: critical,"Payment failed, Order payment_failed, quantity unchanged, notification.",No reservation on failed payment.,Integration tests.
LW-071,Фіналізувати holds після successful drop,M8,phase: 8-payments,payments,backend,critical,Backlog,Backend,5,yes,"LW-069, LW-053",type: backend; area: payments; phase: 8-payments; priority: critical,Finalize all active holds when drop completed/sold_out.,Payment finalized; Order paid; failures create admin tasks.,Integration tests.
LW-072,Скасувати holds після failed drop,M8,phase: 8-payments,payments,backend,critical,Backlog,Backend,4,yes,"LW-069, LW-053",type: backend; area: payments; phase: 8-payments; priority: critical,Cancel active holds when drop failed.,Payment cancelled; Order cancelled; users notified.,Integration tests.
LW-073,Написати payment tests,M8,phase: 8-payments,testing,testing,critical,Backlog,Backend,5,no,"LW-069, LW-070, LW-071, LW-072",type: testing; area: testing; phase: 8-payments; priority: critical,"Failed payment, hold once, duplicate webhook, finalize/cancel holds.",Payment tests green.,CI green.
LW-074,Створити Delivery schema,M9,phase: 9-delivery,delivery,backend,critical,Backlog,Backend,3,yes,LW-057,type: backend; area: delivery; phase: 9-delivery; priority: critical,Delivery schema according to baseline.,Status enum; city/warehouse refs; tracking fields.,Schema test.
LW-075,Реалізувати Nova Poshta service,M9,phase: 9-delivery,delivery,backend,critical,Backlog,Backend,6,no,"LW-074, LW-006",type: backend; area: delivery; phase: 9-delivery; priority: critical,"searchCities, getWarehouses, createTtn, checkTracking.",NP key backend env only; failures handled.,Mock integration tests.
LW-076,Реалізувати Cities API,M9,phase: 9-delivery,delivery,backend,high,Backlog,Backend,3,yes,LW-075,type: backend; area: delivery; phase: 9-delivery; priority: high,GET /delivery/cities?search=.,Autocomplete data returned; possible cache.,API test.
LW-077,Реалізувати Warehouses API,M9,phase: 9-delivery,delivery,backend,high,Backlog,Backend,3,yes,LW-075,type: backend; area: delivery; phase: 9-delivery; priority: high,GET /delivery/warehouses?cityRef=.,Warehouses by cityRef returned.,API test.
LW-078,Реалізувати create TTN endpoint,M9,phase: 9-delivery,delivery,backend,critical,Backlog,Backend,6,yes,"LW-075, LW-020, LW-023",type: backend; area: delivery; phase: 9-delivery; priority: critical,POST /admin/delivery/:orderId/create-ttn.,Only admin/manager; order ready_to_ship; tracking saved; audit+notification.,Integration tests.
LW-079,Підготувати bulk TTN service support,M9,phase: 9-delivery,delivery,backend,medium,Backlog,Backend,3,no,LW-078,type: backend; area: delivery; phase: 9-delivery; priority: medium,Service supports batch creation later.,Can process multiple orders safely with partial failures.,Unit test.
LW-080,Зробити delivery frontend,M9,phase: 9-delivery,delivery,frontend,high,Backlog,Frontend,6,yes,"LW-076, LW-077, LW-078",type: frontend; area: delivery; phase: 9-delivery; priority: high,"City autocomplete, warehouse select, preview, tracking display, admin create TTN button.",Checkout/admin delivery UI works.,Manual flow.
LW-081,Написати delivery tests,M9,phase: 9-delivery,testing,testing,high,Backlog,Backend,4,no,"LW-076, LW-077, LW-078",type: testing; area: testing; phase: 9-delivery; priority: high,cityRef/warehouseRef required; TTN blocked; failed TTN creates admin task.,Delivery tests green.,CI green.
LW-082,Створити ProductionPackage schema,M10,phase: 10-production,production,backend,critical,Backlog,Backend,3,yes,"LW-026, LW-040, LW-057",type: backend; area: production; phase: 10-production; priority: critical,ProductionPackage schema according to baseline.,"Refs, status enum, sizeBreakdown, files, orderIds.",Schema test.
LW-083,Автоматично створювати production package,M10,phase: 10-production,production,backend,critical,Backlog,Backend,5,yes,"LW-082, LW-071",type: backend; area: production; phase: 10-production; priority: critical,"On drop completed/sold_out collect orders, sizeBreakdown, files, admin task.",Production package created correctly.,Integration test.
LW-084,Зробити Production admin page,M10,phase: 10-production,production,frontend,high,Backlog,Frontend,6,yes,LW-083,type: frontend; area: production; phase: 10-production; priority: high,"/admin/production, detail page, size breakdown, order list, files, notes.",Admin can view production package.,Manual review.
LW-085,Реалізувати production status transitions,M10,phase: 10-production,production,backend,high,Backlog,Backend,4,yes,"LW-083, LW-023",type: backend; area: production; phase: 10-production; priority: high,"ready_for_production, sent_to_producer, in_production, completed, ready_to_ship, problem, cancelled.",Transitions audited; invalid rejected.,Unit/integration tests.
LW-086,Написати production tests,M10,phase: 10-production,testing,testing,medium,Backlog,Backend,3,no,"LW-083, LW-085",type: testing; area: testing; phase: 10-production; priority: medium,"Package creation, size breakdown, file access, audit on status changes.",Production tests green.,CI green.
LW-087,Створити Notification schema,M11,phase: 11-notifications,notifications,backend,critical,Backlog,Backend,3,yes,LW-005,type: backend; area: notifications; phase: 11-notifications; priority: critical,Notification schema according to baseline.,Category/channel/status enums; related entity fields.,Schema test.
LW-088,Реалізувати NotificationService,M11,phase: 11-notifications,notifications,backend,critical,Backlog,Backend,5,yes,LW-087,type: backend; area: notifications; phase: 11-notifications; priority: critical,"createInApp, sendEmail, sendTelegram, service/interest/marketing helpers.",In-app always created; failures don't break business flow.,Unit tests.
LW-089,Зробити In-app Notification Center,M11,phase: 11-notifications,notifications,frontend,high,Backlog,Frontend,5,yes,LW-088,type: frontend; area: notifications; phase: 11-notifications; priority: high,"/profile/notifications with read/unread, mark all read, filters.",User sees notification history.,Manual flow.
LW-090,Реалізувати Notification settings,M11,phase: 11-notifications,notifications,fullstack,high,Backlog,Fullstack,5,yes,LW-088,type: fullstack; area: notifications; phase: 11-notifications; priority: high,email/telegram/wishlist/second chance/marketing opt-in settings.,In-app always on; service cannot fully disabled; marketing off by default.,Settings tests/manual.
LW-091,Підключити email provider integration,M11,phase: 11-notifications,notifications,backend,medium,Backlog,Backend,4,yes,"LW-088, LW-006",type: backend; area: notifications; phase: 11-notifications; priority: medium,Transactional email provider abstraction and failure handling.,Email failure logs and does not break order flow.,Mock test.
LW-092,Підключити Telegram bot integration,M11,phase: 11-notifications,notifications,backend,medium,Backlog,Backend,5,yes,"LW-088, LW-006",type: backend; area: notifications; phase: 11-notifications; priority: medium,"Connect account, my orders, notifications, support, open site.",telegramId saved; bot can send messages.,Manual/mocked test.
LW-093,Підключити notification events,M11,phase: 11-notifications,notifications,backend,high,Backlog,Backend,5,yes,LW-088,type: backend; area: notifications; phase: 11-notifications; priority: high,Events for designer/design/drop/order/payment/production/TTN/delivery/second chance/payout.,All key events create in-app notification.,Integration tests.
LW-094,Створити WishlistItem schema,M12,phase: 12-wishlist,wishlist,backend,high,Backlog,Backend,2,yes,"LW-026, LW-010",type: backend; area: wishlist; phase: 12-wishlist; priority: high,WishlistItem schema.,Unique userId+dropId; status enum; notify flags.,Schema/index test.
LW-095,Реалізувати Wishlist endpoints,M12,phase: 12-wishlist,wishlist,backend,high,Backlog,Backend,4,yes,"LW-094, LW-021",type: backend; area: wishlist; phase: 12-wishlist; priority: high,POST/DELETE/GET/PATCH wishlist.,User manages own wishlist; stays after drop closed.,API tests.
LW-096,Зробити Wishlist frontend,M12,phase: 12-wishlist,wishlist,frontend,medium,Backlog,Frontend,4,yes,"LW-095, LW-033",type: frontend; area: wishlist; phase: 12-wishlist; priority: medium,"Wishlist button, profile wishlist page, active/closed/archived filters.",User can add/remove/view wishlist.,Manual flow.
LW-097,Реалізувати low-stock notifications,M12,phase: 12-wishlist,notifications,backend,medium,Backlog,Backend,3,yes,"LW-095, LW-088",type: backend; area: notifications; phase: 12-wishlist; priority: medium,Send once when remaining <=20%.,No duplicate notification per user/drop.,Unit/integration test.
LW-098,Створити SecondChanceListing schema,M12,phase: 12-wishlist,second-chance,backend,medium,Backlog,Backend,3,yes,"LW-026, LW-057",type: backend; area: second-chance; phase: 12-wishlist; priority: medium,SecondChanceListing schema.,Status enum; sourceOrder optional; priority window fields.,Schema test.
LW-099,Зробити Admin Second Chance page,M12,phase: 12-wishlist,second-chance,fullstack,medium,Backlog,Fullstack,6,yes,LW-098,type: fullstack; area: second-chance; phase: 12-wishlist; priority: medium,"Create listing, set priority, make public, mark sold, expire, cancel.",Admin can manage Second Chance listings.,Manual/admin tests.
LW-100,Написати Second Chance tests,M12,phase: 12-wishlist,testing,testing,medium,Backlog,Backend,3,no,"LW-095, LW-099",type: testing; area: testing; phase: 12-wishlist; priority: medium,Wishlist remains; users notified; listing cannot sell twice; priority window.,Tests green.,CI green.
LW-101,Створити Payout schema,M13,phase: 13-payouts,payouts,backend,high,Backlog,Backend,3,yes,"LW-028, LW-026",type: backend; area: payouts; phase: 13-payouts; priority: high,Payout schema according to baseline.,Status enum; calculationBase; paidByAdminId.,Schema test.
